"","survey_time","correlation_id","gender","age","municipal_size","education","ideology","support_oppose","political_interest","false1_acc","false1_bias","false1_trust","false1_favor","false2_acc","false2_bias","false2_trust","false2_favor","true1_acc","true1_bias","true1_trust","true1_favor","true2_acc","true2_bias","true2_trust","true2_favor","true3_acc","true3_bias","true3_trust","true3_favor","Traditional.media","Social.media","Journalists","Scientists","Fact.checkers","University.Professors","P.L.Government","HL1_partisan_left_acc","HL1_partisan_left_bias","HL1_partisan_left_trust","HL1_partisan_left_favor","HL2_partisan_left_acc","HL2_partisan_left_bias","HL2_partisan_left_trust","HL2_partisan_left_favor","HL3_partisan_left_acc","HL3_partisan_left_bias","HL3_partisan_left_trust","HL3_partisan_left_favor","HL4_partisan_left_acc","HL4_partisan_left_bias","HL4_partisan_left_trust","HL4_partisan_left_favor","HL5_partisan_left_acc","HL5_partisan_left_bias","HL5_partisan_left_trust","HL5_partisan_left_favor","HL6_partisan_left_acc","HL6_partisan_left_bias","HL6_partisan_left_trust","HL6_partisan_left_favor","HL1_partisan_right_acc","HL1_partisan_right_bias","HL1_partisan_right_trust","HL1_partisan_right_favor","HL2_partisan_right_acc","HL2_partisan_right_bias","HL2_partisan_right_trust","HL2_partisan_right_favor","HL3_partisan_right_acc","HL3_partisan_right_bias","HL3_partisan_right_trust","HL3_partisan_right_favor","HL4_partisan_right_acc","HL4_partisan_right_bias","HL4_partisan_right_trust","HL4_partisan_right_favor","HL5_partisan_right_acc","HL5_partisan_right_bias","HL5_partisan_right_trust","HL5_partisan_right_favor","HL6_partisan_right_acc","HL6_partisan_right_bias","HL6_partisan_right_trust","HL6_partisan_right_favor","HL1_fake_acc","HL1_fake_bias","HL1_fake_trust","HL1_fake_favor","HL2_fake_acc","HL2_fake_bias","HL2_fake_trust","HL2_fake_favor","HL3_fake_acc","HL3_fake_bias","HL3_fake_trust","HL3_fake_favor","HL4_fake_acc","HL4_fake_bias","HL4_fake_trust","HL4_fake_favor","HL5_fake_acc","HL5_fake_bias","HL5_fake_trust","HL5_fake_favor","HL1_mainstr_left_acc","HL1_mainstr_left_bias","HL1_mainstr_left_trust","HL1_mainstr_left_favor","HL2_mainstr_left_acc","HL2_mainstr_left_bias","HL2_mainstr_left_trust","HL2_mainstr_left_favor","HL3_mainstr_left_acc","HL3_mainstr_left_bias","HL3_mainstr_left_trust","HL3_mainstr_left_favor","HL4_mainstr_left_acc","HL4_mainstr_left_bias","HL4_mainstr_left_trust","HL4_mainstr_left_favor","HL5_mainstr_left_acc","HL5_mainstr_left_bias","HL5_mainstr_left_trust","HL5_mainstr_left_favor","HL6_mainstr_left_acc","HL6_mainstr_left_bias","HL6_mainstr_left_trust","HL6_mainstr_left_favor","HL7_mainstr_left_acc","HL7_mainstr_left_bias","HL7_mainstr_left_trust","HL7_mainstr_left_favor","HL8_mainstr_left_acc","HL8_mainstr_left_bias","HL8_mainstr_left_trust","HL8_mainstr_left_favor","HL1_mainstr_right_acc","HL1_mainstr_right_bias","HL1_mainstr_right_trust","HL1_mainstr_right_favor","HL2_mainstr_right_acc","HL2_mainstr_right_bias","HL2_mainstr_right_trust","HL2_mainstr_right_favor","HL3_mainstr_right_acc","HL3_mainstr_right_bias","HL3_mainstr_right_trust","HL3_mainstr_right_favor","HL4_mainstr_right_acc","HL4_mainstr_right_bias","HL4_mainstr_right_trust","HL4_mainstr_right_favor","HL5_mainstr_right_acc","HL5_mainstr_right_bias","HL5_mainstr_right_trust","HL5_mainstr_right_favor","HL6_mainstr_right_acc","HL6_mainstr_right_bias","HL6_mainstr_right_trust","HL6_mainstr_right_favor","clicked","condition","comment_count","like_count","duration","treatment.exposure.question","MAGNAPOLONIA.ORG","WMERITUM.PL","POLSATNEWS.PL","PAP.PL","KONKRET24.TVN24.PL","TRUDAT.PL","FAKEHUNTER.PAP.PL","FAKENEWS.PL","misp","skept","trust","tr_medialit","tr_factcheck","tr_coverage","tr_all","visit_fact","visit_fake","visit_news","visit_medialit","hyperpartisan","mainstream","false","mani_check_pass"
"1","10/13/22 18:53",33202647,2,21.5,5,5,5,0,4,2,4,2,4,3,3,3,2,4,1,4,1,3,1,4,1,3,3,3,2,1,4,4,6,5,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,";KONKRET24.TVN24.PL=>Yes;PAP.PL=>No;WMERITUM.PL=>No;MAGNAPOLONIA.ORG=>Yes;POLSATNEWS.PL=>No;FAKEHUNTER.PAP.PL=>Yes;FAKENEWS.PL=>Yes;TRUDAT.PL=>Yes",7,0,0,551295,2,1,0,0,0,1,1,1,1,2.5,1.66666666666667,3.57142857142857,NA,"2",NA,"4",2,1,0,2,4,1,3,1
"2","10/12/22 10:27",86374874,2,21.5,2,3,7,7,4,2,2,3,3,2,2,2,2,2,2,3,3,2,3,3,2,2,2,3,2,4,5,5,4,3,3,1,NA,NA,NA,NA,3,3,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,";WMERITUM.PL=>No;PAP.PL=>No;POLSATNEWS.PL=>No;TRUDAT.PL=>No;KONKRET24.TVN24.PL=>No;MAGNAPOLONIA.ORG=>Yes;FAKENEWS.PL=>Yes;FAKEHUNTER.PAP.PL=>Yes",8,0,0,1632521,1,1,0,0,0,0,0,1,1,2,3,3.57142857142857,"1",NA,NA,"5",0,1,0,2,2.5,2,2,1
"3","10/12/22 6:50",25742051,2,29.5,3,6,5,0,3,3,2,3,2,2,2,2,2,3,1,4,1,3,2,3,2,3,1,3,1,4,3,4,5,6,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,";TRUDAT.PL=>Yes;PAP.PL=>Yes;POLSATNEWS.PL=>No;FAKEHUNTER.PAP.PL=>Yes;FAKENEWS.PL=>No;WMERITUM.PL=>No;KONKRET24.TVN24.PL=>No;MAGNAPOLONIA.ORG=>Yes",4,0,0,410,1,1,0,0,1,0,1,1,0,2.5,2,4,NA,"1",NA,"3",1,1,1,1,4,2.5,2,1
"4","10/12/22 5:27",95617533,2,49.5,1,4,1,0,2,3,2,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,2,3,1,4,4,4,4,4,4,1,NA,NA,NA,NA,NA,NA,NA,NA,2,4,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,";TRUDAT.PL=>No;PAP.PL=>No;POLSATNEWS.PL=>No;FAKENEWS.PL=>No;MAGNAPOLONIA.ORG=>No;KONKRET24.TVN24.PL=>No;FAKEHUNTER.PAP.PL=>No;WMERITUM.PL=>No",7,0,0,441,2,0,0,0,0,0,0,0,0,3,2,3.57142857142857,NA,"2",NA,"4",0,0,0,0,3.5,2,2,1
"5","10/12/22 4:46",20957964,1,39.5,1,6,6,6,4,1,3,1,2,1,1,1,1,3,1,4,1,2,1,2,1,3,1,3,1,3,3,4,6,6,7,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,";FAKENEWS.PL=>Yes;KONKRET24.TVN24.PL=>Yes;FAKEHUNTER.PAP.PL=>Yes;TRUDAT.PL=>No;PAP.PL=>No;FAKENEWS.PL=>Yes;POLSATNEWS.PL=>No;MAGNAPOLONIA.ORG=>No;WMERITUM.PL=>No",8,0,0,421,1,0,0,0,0,1,0,1,1,1,2.33333333333333,4.57142857142857,"1",NA,NA,"5",1,0,0,2,3.5,2.5,2.5,1
"6","10/11/22 21:58",62287083,1,49.5,5,6,4,1,3,1,3,2,1,1,1,2,1,3,1,3,1,3,1,3,1,3,1,3,1,5,2,5,6,6,6,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,";KONKRET24.TVN24.PL=>Yes;TRUDAT.PL=>Yes;MAGNAPOLONIA.ORG=>No;FAKENEWS.PL=>Yes;WMERITUM.PL=>No;FAKEHUNTER.PAP.PL=>No;POLSATNEWS.PL=>Yes;PAP.PL=>No",1,0,0,895,2,0,0,1,0,1,1,0,1,1,2,4.57142857142857,NA,NA,"1","1",2,0,1,1,4,3,3,0
"7","10/11/22 21:09",52381936,2,39.5,2,4,5,5,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,3,3,1,3,1,1,1,1,5,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,";WMERITUM.PL=>No;FAKENEWS.PL=>No;FAKEHUNTER.PAP.PL=>No;KONKRET24.TVN24.PL=>No;TRUDAT.PL=>No;POLSATNEWS.PL=>No;MAGNAPOLONIA.ORG=>No;PAP.PL=>No",2,0,0,6743,1,0,0,0,0,0,0,0,0,1,3.33333333333333,1.57142857142857,NA,NA,"2","2",0,0,0,0,3,2,4,0
"8","10/11/22 20:42",51109166,2,49.5,3,6,4,0,3,2,1,2,1,2,1,2,1,3,1,3,1,1,1,2,1,4,1,4,1,5,4,5,4,4,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,";FAKENEWS.PL=>Yes;PAP.PL=>Yes;FAKENEWS.PL=>Yes;WMERITUM.PL=>No;POLSATNEWS.PL=>No;TRUDAT.PL=>Yes;FAKEHUNTER.PAP.PL=>No;MAGNAPOLONIA.ORG=>No;KONKRET24.TVN24.PL=>No",10,0,0,1821,0,0,0,0,1,0,1,0,1,2,2.33333333333333,3.85714285714286,"0","0","0","0",1,0,1,1,4,2,2.5,1
"9","10/11/22 19:50",69141622,1,39.5,3,3,2,6,3,1,2,2,2,1,2,1,2,3,2,3,1,3,3,3,2,3,3,3,2,2,3,2,1,1,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,";TRUDAT.PL=>No;FAKENEWS.PL=>No;PAP.PL=>No;FAKEHUNTER.PAP.PL=>No;POLSATNEWS.PL=>No;WMERITUM.PL=>No;KONKRET24.TVN24.PL=>No;MAGNAPOLONIA.ORG=>No",3,0,8,871,1,0,0,0,0,0,0,0,0,1,2,2,NA,"1",NA,"3",0,0,0,0,2.5,3,3,1
"10","10/11/22 18:26",70641826,1,39.5,5,4,10,1,3,3,4,2,4,3,3,4,2,4,1,4,1,2,3,3,2,3,2,4,2,1,3,1,4,6,6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,1,4,NA,NA,NA,NA,NA,NA,NA,NA,4,1,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,";TRUDAT.PL=>No;KONKRET24.TVN24.PL=>Yes;FAKEHUNTER.PAP.PL=>Yes;POLSATNEWS.PL=>No;FAKENEWS.PL=>No;MAGNAPOLONIA.ORG=>Yes;PAP.PL=>No;WMERITUM.PL=>No",8,0,0,1922,1,1,0,0,0,1,0,1,0,3,2,3.14285714285714,"1",NA,NA,"5",1,1,0,1,4,4,4,1
