survey_time,correlation_id,gender,age,race,education,ideology,party ID,political_interest,"To check whether you are reading the questions, click on the second answer from the top.",false1_acc,false1_bias,false1_trust,false1_favor,true1_acc,true1_bias,true1_trust,true1_favor,true2_acc,true2_bias,true2_trust,true2_favor,false2_acc,false2_bias,false2_trust,false2_favor,true3_acc,true3_bias,true3_trust,true3_favor,Journalists,Fact-checkers,U.S. Government,University Professors,Social media,Traditional media,Scientists,HL1_partisan_left_acc,HL1_partisan_left_bias,HL1_partisan_left_trust,HL1_partisan_left_favor,HL2_partisan_left_acc,HL2_partisan_left_bias,HL2_partisan_left_trust,HL2_partisan_left_favor,HL3_partisan_left_acc,HL3_partisan_left_bias,HL3_partisan_left_trust,HL3_partisan_left_favor,HL4_partisan_left_acc,HL4_partisan_left_bias,HL4_partisan_left_trust,HL4_partisan_left_favor,HL5_partisan_left_acc,HL5_partisan_left_bias,HL5_partisan_left_trust,HL5_partisan_left_favor,HL6_partisan_left_acc,HL6_partisan_left_bias,HL6_partisan_left_trust,HL6_partisan_left_favor,HL1_partisan_right_acc,HL1_partisan_right_bias,HL1_partisan_right_trust,HL1_partisan_right_favor,HL2_partisan_right_acc,HL2_partisan_right_bias,HL2_partisan_right_trust,HL2_partisan_right_favor,HL3_partisan_right_acc,HL3_partisan_right_bias,HL3_partisan_right_trust,HL3_partisan_right_favor,HL4_partisan_right_acc,HL4_partisan_right_bias,HL4_partisan_right_trust,HL4_partisan_right_favor,HL5_partisan_right_acc,HL5_partisan_right_bias,HL5_partisan_right_trust,HL5_partisan_right_favor,HL6_partisan_right_acc,HL6_partisan_right_bias,HL6_partisan_right_trust ,HL6_partisan_right_favor,HL1_fake_left_acc,HL1_fake_left_bias,HL1_fake_left_trust,HL1_fake_left_favor,HL2_fake_left_acc,HL2_fake_left_bias,HL2_fake_left_trust,HL2_fake_left_favor,HL3_fake_left_acc,HL3_fake_left_bias,HL3_fake_left_trust,HL3_fake_left_favor,HL4_fake_left_acc,HL4_fake_left_bias,HL4_fake_left_trust,HL4_fake_left_favor,HL5_fake_left_acc,HL5_fake_left_bias,HL5_fake_left_trust,HL5_fake_left_favor,HL6_fake_left_acc,HL6_fake_left_bias,HL6_fake_left_trust,HL6_fake_left_favor,HL1_fake_right_acc,HL1_fake_right_bias,HL1_fake_right_trust,HL1_fake_right_favor,HL2_fake_right_acc,HL2_fake_right_bias,HL2_fake_right_trust,HL2_fake_right_favor,HL3_fake_right_acc,HL3_fake_right_bias,HL3_fake_right_trust,HL3_fake_right_favor,HL4_fake_right_acc,HL4_fake_right_bias,HL4_fake_right_trust,HL4_fake_right_favor,HL5_fake_right_acc,HL5_fake_right_bias,HL5_fake_right_trust,HL5_fake_right_favor,HL6_fake_right_acc,HL6_fake_right_bias,HL6_fake_right_trust,HL6_fake_right_favor,HL1_mainstr_left_acc,HL1_mainstr_left_bias,HL1_mainstr_left_trust,HL1_mainstr_left_favor,HL2_mainstr_left_acc,HL2_mainstr_left_bias,HL2_mainstr_left_trust,HL2_mainstr_left_favor,HL3_mainstr_left_acc,HL3_mainstr_left_bias,HL3_mainstr_left_trust,HL3_mainstr_left_favor,HL4_mainstr_left_acc,HL4_mainstr_left_bias,HL4_mainstr_left_trust,HL4_mainstr_left_favor,HL5_mainstr_left_acc,HL5_mainstr_left_bias,HL5_mainstr_left_trust,HL5_mainstr_left_favor,HL6_mainstr_left_acc,HL6_mainstr_left_bias,HL6_mainstr_left_trust,HL6_mainstr_left_favor,HL1_mainstr_right_acc,HL1_mainstr_right_bias,HL1_mainstr_right_trust,HL1_mainstr_right_favor,HL2_mainstr_right_acc,HL2_mainstr_right_bias,HL2_mainstr_right_trust,HL2_mainstr_right_favor,HL3_mainstr_right_acc,HL3_mainstr_right_bias,HL3_mainstr_right_trust,HL3_mainstr_right_favor,HL4_mainstr_right_acc,HL4_mainstr_right_bias,HL4_mainstr_right_trust,HL4_mainstr_right_favor,HL5_mainstr_right_acc,HL5_mainstr_right_bias,HL5_mainstr_right_trust,HL5_mainstr_right_favor,HL6_mainstr_right_acc,HL6_mainstr_right_bias,HL6_mainstr_right_trust,HL6_mainstr_right_favor,clicked,condition,comment_count,like_count,duration,treatment exposure question,NATIONALREPORT.COM,WORLDNEWSDAILYREPORT.COM,APNEWS.COM,USATODAY.COM,FACTCHECK.ORG,WASHINGTONPOST.COM,DIGITAL.COM,COMMONSENSE.ORG,misp,skept,trust,visit_medialit,visit_news,visit_fake ,visit_fact,tr_factcheck,tr_medialit,tr_coverage ,tr_all 
10/27/22 10:15,hQelfvHDvKFnVE-2Z_aroA**,Male,18 to 24,Non-Hispanic White,High School Graduate,Somewhat liberal,A not very strong Republican,Not very interested,Last year,2,4,2,4,4,2,3,3,3,2,1,4,1,4,2,3,2,3,3,4,4,6,7,5,2,3,7,4,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,4,2,,,,,,,,,,,,,,,,,,,,,4,1,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,;DIGITAL.COM=>Yes;WASHINGTONPOST.COM=>Yes;COMMONSENSE.ORG=>Yes;FACTCHECK.ORG=>Yes;WORLDNEWSDAILYREPORT.COM=>No;WORLDNEWSDAILYREPORT.COM=>No;USATODAY.COM=>No;NATIONALREPORT.COM=>;NATIONALREPORT.COM=>No;APNEWS.COM=>No;DIGITAL.COM=>Yes;NATIONALREPORT.COM=>No,7,0,8,629,1,No,No,No,No,Yes,Yes,Yes,Yes,,,,,,,,,,,
10/27/22 4:17,hQelfvHDvKGyhet09-bZoA**,Male,18 to 24,Non-Hispanic White,College Degree,Somewhat liberal,A not very strong Democrat,Not at all interested,Last year,1,1,1,2,2,3,4,2,3,1,2,2,2,3,3,2,2,2,3,1,3,3,3,7,4,4,7,,,,,,,,,,,,,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,2,;DIGITAL.COM=>No;APNEWS.COM=>No;NATIONALREPORT.COM=>Yes;COMMONSENSE.ORG=>No;WASHINGTONPOST.COM=>No;USATODAY.COM=>Yes;WORLDNEWSDAILYREPORT.COM=>Yes;FACTCHECK.ORG=>Yes,1,0,0,282,1,Yes,Yes,No,Yes,Yes,No,No,No,,,,,,,,,,,
10/25/22 21:06,80dOAG3kCjwNh_DHivxWDg**,Male,65+,Non-Hispanic White,Master's Degree,Somewhat conservative,A not very strong Republican,Somewhat interested,Last year,2,4,1,4,2,1,1,1,3,2,3,1,1,4,1,3,3,1,2,1,1,5,4,3,1,4,6,,,,,,,,,,,,,2,3,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,1,3,,,,,,,,,,,,,,,,,,,,,;COMMONSENSE.ORG=>Yes;NATIONALREPORT.COM=>No;FACTCHECK.ORG=>Yes;WORLDNEWSDAILYREPORT.COM=>No;DIGITAL.COM=>Yes;APNEWS.COM=>Yes;WASHINGTONPOST.COM=>Yes;USATODAY.COM=>Yes,8,0,1,722,1,No,No,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,
10/25/22 21:04,80dOAG3kCjxo8PpVgidtnQ**,Male,65+,Non-Hispanic White,College Degree,Very liberal,A strong Democrat,Extremely interested,Last year,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,6,5,5,5,4,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,4,,,,,,,,,,,,,,,,,,,,,3,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,;WASHINGTONPOST.COM=>No;USATODAY.COM=>Yes;NATIONALREPORT.COM=>Yes;DIGITAL.COM=>No;FACTCHECK.ORG=>No;WORLDNEWSDAILYREPORT.COM=>Yes;APNEWS.COM=>Yes;COMMONSENSE.ORG=>No,1,0,0,604,1,Yes,Yes,Yes,Yes,No,No,No,No,,,,,,,,,,,
10/25/22 20:39,80dOAG3kCjxG3ifjdi3l9g**,Male,25 to 34,Non-Hispanic White,College Degree,Very conservative,A strong Democrat,Very interested,Last year,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,7,7,7,6,7,6,6,,,,,,,,,,,,,,,,,,,,,4,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,;FACTCHECK.ORG=>Yes;DIGITAL.COM=>Yes;APNEWS.COM=>Yes;NATIONALREPORT.COM=>No;WORLDNEWSDAILYREPORT.COM=>Yes;COMMONSENSE.ORG=>Yes;WASHINGTONPOST.COM=>Yes;USATODAY.COM=>Yes,7,0,8,590,1,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,
10/25/22 20:17,80dOAG3kCjzFL_EmSZA2gg**,Male,25 to 34,Non-Hispanic White,College Degree,Somewhat conservative,A not very strong Democrat,Somewhat interested,Last year,1,1,1,1,2,2,2,2,3,3,3,3,2,2,2,2,4,4,4,4,7,6,6,6,6,7,6,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,1,1,3,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,;USATODAY.COM=>;USATODAY.COM=>;USATODAY.COM=>;USATODAY.COM=>Yes;DIGITAL.COM=>Yes;WASHINGTONPOST.ES=>Yes;REPORTENACIONAL.COM=>Yes;FACTCHECK.ORG=>No;APNEWS.COM=>No;WORLDNEWSDAILYREPORT.COM=>No;SENTIDO COMÚN.ORG=>Yes;USATODAY.COM=>Yes,7,0,3,1305,2,,No,No,Yes,No,,Yes,,,,,,,,,,,,
10/25/22 20:13,80dOAG3kCjyBOWrKksODbA**,Male,25 to 34,Hispanic or Latino,High School Graduate,Middle of the road,Independent (close to neither party),Not very interested,Last year,1,1,2,1,2,1,2,1,2,1,2,1,1,1,1,1,3,1,1,1,6,7,7,4,4,6,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,;WORLDNEWSDAILYREPORT.COM=>No;FACTCHECK.ORG=>No;USATODAY.COM=>No;APNEWS.COM=>No;DIGITAL.COM=>No;NATIONALREPORT.COM=>No;COMMONSENSE.ORG=>No;WASHINGTONPOST.COM=>No,1,0,0,1084,2,No,No,No,No,No,No,No,No,,,,,,,,,,,
10/25/22 20:09,80dOAG3kCjxHqsSvLBVswQ**,Male,35 to 44,Asian or Asian American,Master's Degree,Somewhat conservative,A not very strong Republican,Not very interested,Last year,4,2,3,2,3,2,3,2,3,1,3,1,2,3,2,4,4,3,3,1,6,5,3,6,2,5,5,,,,,,,,,2,3,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,2,3,,,,,,,,,,,,,,,,,,,,,2,3,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,;FACTCHECK.ORG=>No;WASHINGTONPOST.COM=>Yes;USATODAY.COM=>Yes;WORLDNEWSDAILYREPORT.COM=>No;COMMONSENSE.ORG=>No;DIGITAL.COM=>No;APNEWS.COM=>Yes;NATIONALREPORT.COM=>No,6,0,0,1184,1,No,No,Yes,Yes,No,Yes,No,No,,,,,,,,,,,
10/25/22 20:06,80dOAG3kCjxr9-L5OST0_A**,Male,18 to 24,Black or African American,Some College Complete,Middle of the road,A strong Democrat,Extremely interested,Last year,2,1,2,1,3,1,4,1,4,1,4,1,2,1,2,1,4,1,4,1,4,7,6,5,6,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,3,3,,,,,,,,,,,,,3,1,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,3,1,;COMMONSENSE.ORG=>No;USATODAY.COM=>Yes;DIGITAL.COM=>No;NATIONALREPORT.COM=>No;WASHINGTONPOST.COM=>Yes;WORLDNEWSDAILYREPORT.COM=>No;APNEWS.COM=>No;FACTCHECK.ORG=>No,2,0,8,713,1,No,No,No,Yes,No,Yes,No,No,,,,,,,,,,,
10/25/22 20:04,80dOAG3kCjxkMZYPZknEhQ**,Male,65+,Non-Hispanic White,College Degree,Middle of the road,Independent (close to neither party),Somewhat interested,Last year,1,4,1,1,2,1,2,1,3,1,3,1,1,4,1,4,3,1,3,1,6,6,6,6,3,6,6,,,,,,,,,,,,,,,,,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1,4,1,,,,,;WASHINGTONPOST.COM=>Yes;FACTCHECK.ORG=>Yes;DIGITAL.COM=>No;APNEWS.COM=>No;NATIONALREPORT.COM=>No;USATODAY.COM=>No;WORLDNEWSDAILYREPORT.COM=>No;FACTCHECK.ORG=>Yes;DIGITAL.COM=>No;APNEWS.COM=>No;COMMONSENSE.ORG=>No,1,0,2,591,2,No,No,No,No,Yes,Yes,No,No,,,,,,,,,,,
