survey_time,correlation_id,gender,age,race,education,ideology,party.ID,political_interest,attn,false1_acc,false1_bias,false1_trust,false1_favor,true1_acc,true1_bias,true1_trust,true1_favor,true2_acc,true2_bias,true2_trust,true2_favor,false2_acc,false2_bias,false2_trust,false2_favor,true3_acc,true3_bias,true3_trust,true3_favor,Journalists,Fact-checkers,U.S. Government,University Professors,Social media,Traditional media,Scientists,HL1_partisan_left_acc,HL1_partisan_left_bias,HL1_partisan_left_trust,HL1_partisan_left_favor,HL2_partisan_left_acc,HL2_partisan_left_bias,HL2_partisan_left_trust,HL2_partisan_left_favor,HL3_partisan_left_acc,HL3_partisan_left_bias,HL3_partisan_left_trust,HL3_partisan_left_favor,HL4_partisan_left_acc,HL4_partisan_left_bias,HL4_partisan_left_trust,HL4_partisan_left_favor,HL5_partisan_left_acc,HL5_partisan_left_bias,HL5_partisan_left_trust,HL5_partisan_left_favor,HL6_partisan_left_acc,HL6_partisan_left_biased,HL6_partisan_left_trust,HL6_partisan_left_favor,HL1_partisan_right_acc,HL1_partisan_right_biased,HL1_partisan_right_trust,HL1_partisan_right_favor,HL2_partisan_right_acc,HL2_partisan_right_bias,HL2_partisan_right_trust,HL2_partisan_right_favor,HL3_partisan_right_acc,HL3_partisan_right_bias,HL3_partisan_right_trust,HL3_partisan_right_favor,HL4_partisan_right_acc,HL4_partisan_right_bias,HL4_partisan_right_trust,HL4_partisan_right_favor,HL5_partisan_right_acc,HL5_partisan_right_bias,HL5_partisan_right_trust,HL5_partisan_right_favor,HL6_partisan_right_acc,HL6_partisan_right_bias,HL6_partisan_right_trust ,HL6_partisan_right_favor,HL1_fake_left_acc,HL1_fake_left_bias,HL1_fake_left_trust,HL1_fake_left_favor,HL2_fake_left_acc,HL2_fake_left_bias,HL2_fake_left_trust,HL2_fake_left_favor,HL3_fake_left_acc,HL3_fake_left_bias,HL3_fake_left_trust,HL3_fake_left_favor,HL4_fake_left_acc,HL4_fake_left_bias,HL4_fake_left_trust,HL4_fake_left_favor,HL5_fake_left_acc,HL5_fake_left_bias,HL5_fake_left_trust,HL5_fake_left_favor,HL6_fake_left_acc,HL6_fake_left_bias,HL6_fake_left_trust,HL6_fake_left_favor,HL1_fake_right_acc,HL1_fake_right_bias,HL1_fake_right_trust,HL1_fake_right_favor,HL2_fake_right_acc,HL2_fake_right_bias,HL2_fake_right_trust,HL2_fake_right_favor,HL3_fake_right_acc,HL3_fake_right_bias,HL3_fake_right_trust,HL3_fake_right_favor,HL4_fake_right_acc,HL4_fake_right_bias,HL4_fake_right_trust,HL4_fake_right_favor,HL5_fake_right_acc,HL5_fake_right_bias,HL5_fake_right_trust,HL5_fake_right_favor,HL6_fake_right_acc,HL6_fake_right_bias,HL6_fake_right_trust,HL6_fake_right_favor,HL1_mainstr_left_acc,HL1_mainstr_left_bias,HL1_mainstr_left_trust,HL1_mainstr_left_favor,HL2_mainstr_left_acc,HL2_mainstr_left_bias,HL2_mainstr_left_trust,HL2_mainstr_left_favor,HL3_mainstr_left_acc,HL3_mainstr_left_bias,HL3_mainstr_left_trust,HL3_mainstr_left_favor,HL4_mainstr_left_acc,HL4_mainstr_left_bias,HL4_mainstr_left_trust,HL4_mainstr_left_favor,HL5_mainstr_left_acc,HL5_mainstr_left_bias,HL5_mainstr_left_trust,HL5_mainstr_left_favor,HL6_mainstr_left_acc,HL6_mainstr_left_bias,HL6_mainstr_left_trust,HL6_mainstr_left_favor,HL1_mainstr_right_acc,HL1_mainstr_right_bias,HL1_mainstr_right_trust,HL1_mainstr_right_favor,HL2_mainstr_right_acc,HL2_mainstr_right_bias,HL2_mainstr_right_trust,HL2_mainstr_right_favor,HL3_mainstr_right_acc,HL3_mainstr_right_bias,HL3_mainstr_right_trust,HL3_mainstr_right_favor,HL4_mainstr_right_acc,HL4_mainstr_right_bias,HL4_mainstr_right_trust,HL4_mainstr_right_favor,HL5_mainstr_right_acc,HL5_mainstr_right_bias,HL5_mainstr_right_trust,HL5_mainstr_right_favor,HL6_mainstr_right_acc,HL6_mainstr_right_bias,HL6_mainstr_right_trust,HL6_mainstr_right_favor,clicked,condition,comment_count,like_count,duration,treatment exposure question,NATIONALREPORT.COM,WORLDNEWSDAILYREPORT.COM,APNEWS.COM,USATODAY.COM,FACTCHECK.ORG,WASHINGTONPOST.COM,DIGITAL.COM,COMMONSENSE.ORG
10/24/22 4:00,MER9gY8QM80__Dhjh52MkA**,Female,65+,Non-Hispanic White,High School Graduate,Somewhat conservative,A not very strong Republican,Somewhat interested,Last year,1,4,1,4,3,2,3,2,3,1,3,2,1,4,1,4,3,2,3,2,6,5,5,5,4,5,6,,,,,,,,,,,,,,,,,,,,,,,,,1,4,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,;COMMONSENSE.ORG=>No;WORLDNEWSDAILYREPORT.COM=>No;USATODAY.COM=>No;APNEWS.COM=>No;WASHINGTONPOST.COM=>No;DIGITAL.COM=>No;FACTCHECK.ORG=>No;NATIONALREPORT.COM=>No,4,0,0,317,,No,No,No,No,No,No,No,No
9/13/22 2:29,MER9gY8QM80_05Blqpwisg**,Male,65+,Non-Hispanic White,Master's Degree,Very conservative,A strong Republican,Very interested,Last year,3,2,3,3,4,1,4,1,4,4,2,4,1,4,1,4,4,1,4,1,1,4,2,3,2,2,3,,,,,,,,,,,,,,,,,,,,,,,,,2,4,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,4,3,4,,,,,;NATIONALREPORT.COM=>No;COMMONSENSE.ORG=>No;USATODAY.COM=>No;WORLDNEWSDAILYREPORT.COM=>No;DIGITAL.COM=>No;FACTCHECK.ORG=>No;APNEWS.COM=>No;WASHINGTONPOST.COM=>No,-1,0,0,352,,No,No,No,No,No,No,No,No
10/12/22 15:57,MER9gY8QM80_fauJHEAYOw**,Female,35 to 44,Non-Hispanic White,Some College Complete,Somewhat conservative,A not very strong Republican,Somewhat interested,Last year,3,3,2,4,2,3,2,3,4,2,3,2,2,3,2,3,2,3,2,3,3,3,2,3,2,2,4,,,,,,,,,,,,,,,,,,,,,1,4,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,4,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,;DIGITAL.COM=>No;APNEWS.COM=>Yes;COMMONSENSE.ORG=>No;FACTCHECK.ORG=>Yes;WORLDNEWSDAILYREPORT.COM=>No;USATODAY.COM=>Yes;NATIONALREPORT.COM=>Yes;WASHINGTONPOST.COM=>No,9,0,8,454,,Yes,No,Yes,Yes,Yes,No,No,No
9/13/22 14:58,MER9gY8QM80_nmdZ747YHQ**,Male,65+,Non-Hispanic White,Ph.D./Doctorate,Middle of the road,A not very strong Democrat,Somewhat interested,Last year,1,4,1,1,1,1,1,1,4,4,4,4,1,1,1,1,1,4,1,1,6,7,6,4,2,7,6,,,,,,,,,,,,,,,,,,,,,1,3,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,1,3,;DIGITAL.COM=>No;WORLDNEWSDAILYREPORT.COM=>No;USATODAY.COM=>Yes;APNEWS.COM=>Yes;COMMONSENSE.ORG=>Yes;NATIONALREPORT.COM=>Yes;FACTCHECK.ORG=>Yes;WASHINGTONPOST.COM=>Yes,1,0,5,322,,Yes,No,Yes,Yes,Yes,Yes,No,Yes
9/14/22 12:35,MER9gY8QM80_v2CjpmHF5w**,Male,65+,Non-Hispanic White,College Degree,Very liberal,A strong Democrat,Extremely interested,Last year,1,1,1,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,7,7,7,7,1,7,7,,,,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,;WORLDNEWSDAILYREPORT.COM=>Yes;NATIONALREPORT.COM=>No;FACTCHECK.ORG=>Yes;DIGITAL.COM=>No;COMMONSENSE.ORG=>No;WASHINGTONPOST.COM=>Yes;APNEWS.COM=>Yes;USATODAY.COM=>Yes,7,0,2,336,,No,Yes,Yes,Yes,Yes,Yes,No,No
10/8/22 22:24,MER9gY8QM80_Zi6pViTdUg**,Female,45 to 54,Non-Hispanic White,Some College Complete,Middle of the road,A strong Democrat,Very interested,Last year,2,3,2,3,2,2,2,2,3,2,3,2,2,2,2,1,3,2,3,2,6,6,6,6,4,6,6,2,3,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,1,3,,,,,,,,,,,,,,,,,,,,,3,3,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,;USATODAY.COM=>No;COMMONSENSE.ORG=>No;FACTCHECK.ORG=>No;WASHINGTONPOST.COM=>No;NATIONALREPORT.COM=>No;WORLDNEWSDAILYREPORT.COM=>No;APNEWS.COM=>No;DIGITAL.COM=>No,10,0,8,361,,No,No,No,No,No,No,No,No
10/9/22 22:14,MER9gY8QM80-Kv3-Bqv2qg**,Female,25 to 34,Non-Hispanic White,Some College Complete,Somewhat conservative,"Independent, lean toward Republican",Not at all interested,Last year,2,1,2,3,3,1,3,1,4,1,4,1,2,1,2,1,4,1,4,1,3,5,1,3,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,3,2,;USATODAY.COM=>No;DIGITAL.COM=>No;WASHINGTONPOST.COM=>No;WORLDNEWSDAILYREPORT.COM=>No;FACTCHECK.ORG=>No;APNEWS.COM=>No;COMMONSENSE.ORG=>No;NATIONALREPORT.COM=>No,1,0,0,378,,No,No,No,No,No,No,No,No
10/11/22 2:45,MER9gY8QM80-T4S3mno8uw**,Female,45 to 54,Non-Hispanic White,High School Graduate,Middle of the road,A not very strong Republican,Not at all interested,Last year,3,1,3,2,3,3,3,2,2,2,2,2,2,3,2,2,2,2,3,2,5,4,3,4,3,4,4,,,,,,,,,,,,,3,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,;DIGITAL.COM=>No;WORLDNEWSDAILYREPORT.COM=>No;WASHINGTONPOST.COM=>Yes;NATIONALREPORT.COM=>No;COMMONSENSE.ORG=>Yes;USATODAY.COM=>Yes;FACTCHECK.ORG=>Yes;APNEWS.COM=>Yes,7,0,7,734,,No,No,Yes,Yes,Yes,Yes,No,Yes
10/21/22 3:36,MER9gY8QM80-toBvjEYx7w**,Male,35 to 44,Non-Hispanic White,High School Graduate,Middle of the road,Independent (close to neither party),Extremely interested,Last year,3,2,3,2,3,2,3,2,3,2,3,2,3,2,2,3,4,2,4,1,2,2,3,4,1,2,6,,,,,,,,,,,,,,,,,,,,,3,2,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,3,,,,,,,,,2,3,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,;FACTCHECK.ORG=>;FACTCHECK.ORG=>Yes;WASHINGTONPOST.COM=>No;DIGITAL.COM=>No;APNEWS.COM=>Yes;FACTCHECK.ORG=>No;USATODAY.COM=>Yes;NATIONALREPORT.COM=>Yes;WORLDNEWSDAILYREPORT.COM=>No;COMMONSENSE.ORG=>No,-1,0,5,199,,Yes,No,Yes,Yes,No,No,No,No
10/7/22 23:15,MER9gY8QM80-yhNEJdG42Q**,Male,65+,Non-Hispanic White,Some College Complete,Very conservative,A strong Republican,Very interested,Last year,3,4,2,4,3,2,2,2,3,2,3,2,3,3,3,3,3,3,2,3,1,4,1,1,1,1,3,,,,,,,,,,,,,,,,,2,4,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,2,3,,,,,,,,,,,,,,,,,3,4,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,;WASHINGTONPOST.COM=>No;DIGITAL.COM=>No;NATIONALREPORT.COM=>No;WORLDNEWSDAILYREPORT.COM=>No;FACTCHECK.ORG=>No;USATODAY.COM=>No;COMMONSENSE.ORG=>No;APNEWS.COM=>No,7,8,8,301,,No,No,No,No,No,No,No,No
