correlation_id,gender,age,education ,residency,birth_place,party,political_interest,ATTN,False1_acc,False1_bias,False1_trust,False1_favor,False2_acc,False2_bias,False2_trust,False2_favor,True1_acc,True1_bias,True1_trust,True1_favor,True2_acc,True2_bias,True2_trust,True2_favor,True3_acc,True3_bias,True3_trust,True3_favor,lagacy_media,social_media,journalist,scientist,factchecker,uni_professor,government,HL1_partisan_democracy_acc,HL1_partisan_democracy_bias,HL1_partisan_democracy_trust,HL1_partisan_democracy_favor,HL2_partisan_democracy_acc,HL2_partisan_democracy_bias,HL2_partisan_democracy_trust,HL2_partisan_democracy_favor,HL3_partisan_democracy_acc,HL3_partisan_democracy_bias,HL3_partisan_democracy_trust,HL3_partisan_democracy_favor,HL4_partisan_democracy_acc,HL4_partisan_democracy_bias,HL4_partisan_democracy_trust,HL4_partisan_democracy_favor,HL5_partisan_democracy_acc,HL5_partisan_democracy_bias,HL5_partisan_democracy_trust,HL5_partisan_democracy_favor,HL6_partisan_democracy_acc,HL6_partisan_democracy_bias,HL6_partisan_democracy_trust,HL6_partisan_democracy_favor,HL1_partisan_Beijing_acc,HL1_partisan_Beijing_bias,HL1_partisan_Beijing_trust,HL1_partisan_Beijing_favor,HL2_partisan_Beijing_acc,HL2_partisan_Beijing_bias,HL2_partisan_Beijing_trust,HL2_partisan_Beijing_favor,HL3_partisan_Beijing_acc,HL3_partisan_Beijing_bias,HL3_partisan_Beijing_trust,HL3_partisan_Beijing_favor,HL4_partisan_Beijing_acc,HL4_partisan_Beijing_bias,HL4_partisan_Beijing_trust,HL4_partisan_Beijing_favor,HL5_partisan_Beijing_acc,HL5_partisan_Beijing_bias,HL5_partisan_Beijing_trust,HL5_partisan_Beijing_favor,HL6_partisan_Beijing_acc,HL6_partisan_Beijing_bias,HL6_partisan_Beijing_trust,HL6_partisan_Beijing_favor,HL1_fake_democracy_acc,HL1_fake_democracy_bias,HL1_fake_democracy_trust,HL1_fake_democracy_favor,HL2_fake_democracy_acc,HL2_fake_democracy_bias,HL2_fake_democracy_trust,HL2_fake_democracy_favor,HL3_fake_democracy_acc,HL3_fake_democracy_bias,HL3_fake_democracy_trust,HL3_fake_democracy_favor,HL4_fake_democracy_acc,HL4_fake_democracy_bias,HL4_fake_democracy_trust,HL4_fake_democracy_favor,HL5_fake_democracy_acc,HL5_fake_democracy_bias,HL5_fake_democracy_trust,HL5_fake_democracy_favor,HL6_fake_democracy_acc,HL6_fake_democracy_bias,HL6_fake_democracy_trust,HL6_fake_democracy_favor,HL1_fake_Beijng_acc,HL1_fake_Beijng_bias,HL1_fake_Beijng_trust,HL1_fake_Beijng_favor,HL2_fake_Beijng_acc,HL2_fake_Beijng_bias,HL2_fake_Beijng_trust,HL2_fake_Beijng_favor,HL3_fake_Beijng_acc,HL3_fake_Beijng_bias,HL3_fake_Beijng_trust,HL3_fake_Beijng_favor,HL4_fake_Beijng_acc,HL4_fake_Beijng_bias,HL4_fake_Beijng_trust,HL4_fake_Beijng_favor,HL5_fake_Beijng_acc,HL5_fake_Beijng_bias,HL5_fake_Beijng_trust,HL5_fake_Beijng_favor,HL6_fake_Beijng_acc,HL6_fake_Beijng_bias,HL6_fake_Beijng_trust,HL6_fake_Beijng_favor,HL1_acc_democracy_acc,HL1_acc_democracy_bias,HL1_acc_democracy_trust,HL1_acc_democracy_favor,HL2_acc_democracy_acc,HL2_acc_democracy_bias,HL2_acc_democracy_trust,HL2_acc_democracy_favor,HL3_acc_democracy_acc,HL3_acc_democracy_bias,HL3_acc_democracy_trust,HL3_acc_democracy_favor,HL4_acc_democracy_acc,HL4_acc_democracy_bias,HL4_acc_democracy_trust,HL4_acc_democracy_favor,HL5_acc_democracy_acc,HL5_acc_democracy_bias,HL5_acc_democracy_trust,HL5_acc_democracy_favor,HL6_acc_democracy_acc,HL6_acc_democracy_bias,HL6_acc_democracy_trust,HL6_acc_democracy_favor,HL1_acc_Beijing_acc,HL1_acc_Beijing_bias,HL1_acc_Beijing_trust,HL1_acc_Beijing_favor,HL2_acc_Beijing_acc,HL2_acc_Beijing_bias,HL2_acc_Beijing_trust,HL2_acc_Beijing_favor,HL3_acc_Beijing_acc,HL3_acc_Beijing_bias,HL3_acc_Beijing_trust,HL3_acc_Beijing_favor,HL4_acc_Beijing_acc,HL4_acc_Beijing_bias,HL4_acc_Beijing_trust,HL4_acc_Beijing_favor,HL5_acc_Beijing_acc,HL5_acc_Beijing_bias,HL5_acc_Beijing_trust,HL5_acc_Beijing_favor,HL6_acc_Beijing_acc,HL6_acc_Beijing_bias,HL6_acc_Beijing_trust,HL6_acc_Beijing_favor,clicked,condition,comment_count,like,duration,treatment exposure question,Headliner,Cemeterynews,SCMP,RTHK,Factcheck_lab,HKBU_Factcheck,Media_literacy,CMEF,CMEF.ORG.HK
R_2uxgrSIU5K8C1AD,1,1,6,1,1,3,3,1,3,2,3,3,2,3,2,2,3,2,3,2,3,1,4,1,3,2,3,1,5,4,4,6,6,6,5,,,,,,,,,,,,,,,,,,,,,,,,,2,4,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,2,3,,,,,,,,,,,,,,,,,;RTHK.HK/TV/DTT31/PROGRAMME/HEADLINER=>Yes;CMEF.ORG.HK=>No;RTHK.HK=>No;FACTCHECKLAB.ORG=>No;MEDIALITERACY.HK=>No;SCMP.COM/HK=>Yes;FACKCHECK.HKBU.EDU.HK=>Yes;CEMETERYNEWS.ORG=>No;FACTCHECKLAB.ORG=>No;RTHK.HK=>No;MEDIALITERACY.HK=>No;CMEF.ORG.HK=>No;RTHK.HK/TV/DTT31/PROGRAMME/HEADLINER=>Yes;CEMETERYNEWS.ORG=>No;FACKCHECK.HKBU.EDU.HK=>Yes;SCMP.COM/HK=>Yes,7,0,0,164,2,,Yes,Yes,No,No,No,No,No,No
R_cFSReUILZPty3Xb,1,2,7,1,1,2,3,1,3,2,3,3,2,1,2,2,2,3,2,3,3,1,3,2,4,1,3,1,3,4,3,5,4,6,1,1,4,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,1,4,;SCMP.COM/HK=>No;CEMETERYNEWS.ORG=>Yes;MEDIALITERACY.HK=>No;CMEF.ORG.HK=>No;FACKCHECK.HKBU.EDU.HK=>Yes;RTHK.HK=>No;RTHK.HK/TV/DTT31/PROGRAMME/HEADLINER=>Yes;FACTCHECKLAB.ORG=>No,7,0,0,166,2,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
R_1mOdzAP0Ii2lk3D,1,2,6,1,1,3,2,1,2,3,2,3,2,2,3,3,3,2,3,2,3,2,2,2,3,2,3,2,4,4,4,4,5,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,;MEDIALITERACY.HK=>No;RTHK.HK=>No;SCMP.COM/HK=>No;CMEF.ORG.HK=>Yes;CEMETERYNEWS.ORG=>No;RTHK.HK/TV/DTT31/PROGRAMME/HEADLINER=>No;FACKCHECK.HKBU.EDU.HK=>No;FACTCHECKLAB.ORG=>Yes,8,0,0,166,1,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
R_33C4X5tU8cpnnl2,1,2,7,1,1,1,2,1,3,4,4,3,3,3,3,3,2,3,2,3,4,2,4,2,3,2,3,3,3,3,3,4,5,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,1,4,,,,,;CEMETERYNEWS.ORG=>Yes;FACKCHECK.HKBU.EDU.HK=>No;MEDIALITERACY.HK=>No;SCMP.COM/HK=>No;RTHK.HK/TV/DTT31/PROGRAMME/HEADLINER=>Yes;RTHK.HK=>No;FACTCHECKLAB.ORG=>Yes;CMEF.ORG.HK=>No,8,0,0,168,1,,Yes,Yes,No,No,No,No,No,No
R_3jU7zYfE3HlKBc8,1,3,6,1,1,1,3,1,3,2,3,2,2,3,2,3,2,2,3,2,3,3,2,2,3,3,2,2,4,4,4,5,5,5,3,,,,,,,,,,,,,,,,,,,,,3,2,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,;FACKCHECK.HKBU.EDU.HK=>Yes;FACTCHECKLAB.ORG=>Yes;RTHK.HK=>No;MEDIALITERACY.HK=>No;CMEF.ORG.HK=>No;SCMP.COM/HK=>No;CEMETERYNEWS.ORG=>Yes;RTHK.HK/TV/DTT31/PROGRAMME/HEADLINER=>Yes;FACTCHECKLAB.ORG=>No;SCMP.COM/HK=>No;CEMETERYNEWS.ORG=>Yes;RTHK.HK/TV/DTT31/PROGRAMME/HEADLINER=>Yes;RTHK.HK=>No;FACKCHECK.HKBU.EDU.HK=>Yes;CMEF.ORG.HK=>No;MEDIALITERACY.HK=>Yes,5,0,0,170,1,,Yes,Yes,No,No,Yes,No,No,Yes
R_3HFeXXLYyDHUWmx,1,3,6,1,1,1,5,1,2,2,2,2,1,4,1,1,1,2,2,1,4,4,4,1,4,1,4,4,3,4,4,4,5,3,1,,,,,,,,,,,,,,,,,,,,,,,,,1,4,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,1,4,,,,,,,,,,,,,,,,,,,,,4,1,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,;SCMP.COM/HK=>Yes;CEMETERYNEWS.ORG=>No;MEDIALITERACY.HK=>Yes;RTHK.HK=>No;RTHK.HK/TV/DTT31/PROGRAMME/HEADLINER=>No;CMEF.ORG.HK=>Yes;FACKCHECK.HKBU.EDU.HK=>Yes;FACTCHECKLAB.ORG=>Yes,10,0,0,174,,,Yes,Yes,No,No,No,No,No,No
R_2rMGWmuNRTqbAdv,1,3,6,1,1,3,4,1,2,2,2,2,2,3,2,3,4,2,3,3,4,2,3,3,3,2,2,3,3,5,5,4,4,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,2,3,,,,,2,3,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,2,2,,,,,,,,,,,,,;CEMETERYNEWS.ORG=>No;FACTCHECKLAB.ORG=>No;CMEF.ORG.HK=>Yes;SCMP.COM/HK=>No;FACKCHECK.HKBU.EDU.HK=>Yes;RTHK.HK/TV/DTT31/PROGRAMME/HEADLINER=>Yes;RTHK.HK=>Yes;MEDIALITERACY.HK=>No;CEMETERYNEWS.ORG=>No,6,0,0,179,2,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
R_esvA8h8fV9g8eAN,1,3,7,1,1,2,4,1,1,4,1,3,1,4,2,1,1,2,2,1,1,1,1,1,3,1,3,1,2,5,4,5,5,4,1,,,,,,,,,,,,,,,,,,,,,3,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,;SCMP.COM/HK=>No;FACKCHECK.HKBU.EDU.HK=>Yes;CEMETERYNEWS.ORG=>Yes;MEDIALITERACY.HK=>No;RTHK.HK/TV/DTT31/PROGRAMME/HEADLINER=>Yes;RTHK.HK=>No;FACTCHECKLAB.ORG=>Yes;CMEF.ORG.HK=>No,10,0,5,180,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
R_1iedlIxPfsI5nQt,1,2,4,1,1,2,4,1,4,1,4,1,2,3,2,3,3,2,3,2,4,1,4,1,4,1,4,1,3,5,5,4,4,5,2,,,,,,,,,,,,,,,,,,,,,,,,,2,3,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,3,2,,,,,,,,,,,,,,,,,,,,,3,2,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,;RTHK.HK/TV/DTT31/PROGRAMME/HEADLINER=>Yes;RTHK.HK/TV/DTT31/PROGRAMME/HEADLINER=>Yes;SCMP.COM/HK=>Yes;MEDIALITERACY.HK=>Yes;FACKCHECK.HKBU.EDU.HK=>Yes;FACTCHECKLAB.ORG=>Yes;CMEF.ORG.HK=>Yes;CEMETERYNEWS.ORG=>Yes;RTHK.HK=>Yes,8,0,0,189,1,,Yes,Yes,No,No,No,No,No,No
R_24vIyfOuvA0CNb3,1,2,6,1,1,3,3,1,4,3,3,2,4,3,3,2,3,4,3,3,3,3,4,3,3,2,3,4,1,2,4,5,3,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,2,2,,,,,,,,,,,,,,,,,2,3,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,;CMEF.ORG.HK=>No;FACKCHECK.HKBU.EDU.HK=>No;RTHK.HK=>Yes;SCMP.COM/HK=>No;MEDIALITERACY.HK=>Yes;FACTCHECKLAB.ORG=>No;CEMETERYNEWS.ORG=>No;RTHK.HK/TV/DTT31/PROGRAMME/HEADLINER=>Yes,6,0,0,190,1,,Yes,Yes,No,No,Yes,Yes,No,Yes
